Model,Precision Score,Recall Score,F1 Score,Auc Score
Logistic Regression,,,,
Support Vector Classifier,0.6483625953194332,0.6501974055273547,0.6487428107412541,0.8797925305684109
Decision Tree,0.5626500674913469,0.8038660718863765,0.6617109510590795,0.8681461008446634
Random Forest,0.6635127709111966,0.656242629339076,0.6593384131697452,0.9133421128050984
AdaBoost,0.5910530652872437,0.773506640004102,0.6699044002795765,0.9000257393259883
KNN,0.6247919862866026,0.49142183253858385,0.5497993050097534,0.8489303314087572
Gaussian Naive Bayes,0.3637189065196863,0.8392452443213865,0.5074336927010623,0.8618867314325029
